Artist,Genre,Decade
Pearl Jam,Rock,1990
The Beatles,Rock,1970
Diana Ross,R&B,1970
Led Zepplin,Rock,1970
Queen,Rock,1970
David Bowie,Rock,1970
Eric Clapton,Rock,1970
Machine Gun Kelly,Pop,2010
Metallica,Metal,1990
Lady Gaga,Pop,2000
The Weekend,Hip Hop,2010
N.W.A.,Hip Hop,1990
Drake,Hip Hop,2010
The Rolling Stones,Rock,1970
Marvin Gaye,R&B,1960
Black Sabbath,Metal,1970
Rush,Rock,1980
DMX,Hip Hop,2000
Neil Young,Rock,1960
Billie Eilish,Pop,2010
MegaDeth,Metal,1990
Foo Fighters,Rock,2000
Ice Cube,Hip Hop,1990
Nirvana,rock,1990
Green Day,Rock,2000
Motley Crue,Metal,1980
Ed Sheeran,Pop,2000
Lil Nas X,Pop,2010
Aerosmith,Rock,1980
Bruno Mars,Pop,2000
Oasis,Rock,2000
Weezer,Rock,2000
Aesop Rock,Hip Hop,2000
Post Malone,Hip Hop,2010
Curtis Harding,R&B,2010
Lenny Kravitz,Rock,1990
The Cranberries,Rock,1990
Lana Del Rey,Pop,2000
Radiohead,Rock,2000
The Notorious B.I.G.,Hip Hop,2000
New York Dolls,Rock,1970
H.E.R.,R&B,2010
AJR,Pop,2010
Blur,Rock,1990
Elton John,Pop,1980
Panic! At The Disco,Pop,2000
The Who,Rock,1970
The Tragically Hip,Rock,1990
Stevie Wonder,R&B,1970